Log,Score
"www.sitgesanytime.com 168.119.64.248 - - [22/Jan/2024:14:59:20 +0100] ""GET /comu/fancybox/helpers/jquery.fancybox-thumbs.css?v=1.0.7 HTTP/2.0"" 200 601 ""https://www.sitgesanytime.com/es/explora/playas-y-puertos/playas/id10/terramar.htm"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"",0.0024451161734759808"
"www.sitgesanytime.com 66.249.70.97 - - [22/Jan/2024:00:36:21 +0100] ""GET /plantilles/turisme/css/estils-capcalera.css?v=3 HTTP/1.1"" 200 3181 ""https://www.sitgesanytime.com/es/thm6/explora/hecha-para-ti.htm"" ""Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/120.0.6099.199 Safari/537.36"",0.0024410970509052277"
"www.sitgesanytime.com 195.154.123.60 - - [22/Jan/2024:15:00:42 +0100] ""GET /comu/js/jquery-3.6.0.min.js HTTP/2.0"" 200 30901 ""https://www.sitgesanytime.com/fr/pl50/planifiez-votre-voyage/ou-dormir/id95/sitges-royal-rooms.htm"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"",0.002376674907281995"
"www.sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:15:00:23 +0100] ""GET /de/planen-sie-ihre-reise/sitges-auf-einen-blick/id110/buti.htm HTTP/1.1"" 200 8879 ""-"" ""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.2705.5 Safari/537.36"",0.002315507736057043"
"www.sitgesanytime.com 91.40.191.52 - - [27/Jan/2024:00:07:12 +0100] ""GET /media/site1/cache/images/montserrat.jpg HTTP/2.0"" 200 191132 ""https://www.google.com/"" ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36"",0.002239715773612261"
"www.sitgesanytime.com 91.40.191.52 - - [27/Jan/2024:00:07:17 +0100] ""GET /plantilles/turisme/img/logo-top.svg HTTP/2.0"" 200 190555 ""https://www.sitgesanytime.com/de/pl52/entdecken/lernen-sie-die-umgebung-kennen/id60/montserrat.htm"" ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36"",0.0022363110911101103"
"www.sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:15:00:23 +0100] ""GET /ca/pl30/planifica-el-teu-viatge/mapa-de-serveis/id110/buti.htm HTTP/1.1"" 200 8748 ""-"" ""Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3442.104 Safari/537.36"",0.0021013091318309307"
"www.sitgesfilmoffice.es 149.56.150.67 - - [22/Jan/2024:00:34:58 +0100] ""GET /media/site1/cache/images/ico-place.png HTTP/1.1"" 200 3461 ""http://www.sitgesfilmoffice.es/en/"" ""Mozilla/5.0 (compatible; Dataprovider.com)"",0.0020867963321506977"
"www.sitgesanytime.com 67.245.0.90 - - [22/Jan/2024:00:42:45 +0100] ""GET /en/imgs/pictogramestaules/festa64.png HTTP/2.0"" 200 2383 ""https://www.sitgesanytime.com/en/pl355/explore/festivals-of-interest/id3/sitges-carnival.htm"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1"",0.0020797215402126312"
"www.sitgesanytime.com 46.24.171.246 - - [22/Jan/2024:14:58:28 +0100] ""GET /ca/ HTTP/2.0"" 200 11467 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"",0.002038784557953477"
